Order,Family,ScientificName,CommonName,RangeExtent,AreaOfOccupancy,LongTermTrend,SRank,GRrank
Diptera,Syrphidae,Teuchocnemis lituratus,Black Spur Fly,E,C,AD,S3,G5
Diptera,Syrphidae,Xanthogramma flavipes,American Harlequin,F,DE,G,S4,G5
Diptera,Syrphidae,Xylota angustiventris,Two-spotted Leafwalker,A,B,G,S1,G5?
Diptera,Syrphidae,Xylota annulifera,Longspine Leafwalker,F,D,HI,S4,G5
Diptera,Syrphidae,Xylota ejuncida,Polished Leafwalker,Z,Z,AB,SH,G4G5
Diptera,Syrphidae,Xylota flavifrons,Northern Leafwalker,A,A,U,S1,G5
Diptera,Syrphidae,Xylota flukei,Fringeless Leafwalker,A,B,U,S1,G5
Diptera,Syrphidae,Xylota naknek,Naknek Leafwalker,A,B,U,S1,G3G5
Diptera,Syrphidae,Xylota segnis,Brown-toed Leafwalker,E,C,U,SU,GNR
Diptera,Syrphidae,Xylota tuberculata,Short-spined Leafwalker,A,A,U,S1,GU
Diptera,Syrphidae,Xylota undescribed sp. 78-1,a leafwalker fly,EF,C,U,SU,GNR
Diptera,Syrphidae,Xylota undescribed sp. 78-3,a leafwalker fly,A,B,U,S1,GNR
Hymenoptera,Andrenidae,Andrena accepta,Two-spotted Miner Bee,Z,Z,U,SH,GNR
Hymenoptera,Andrenidae,Andrena algida,Icy Miner Bee,F,D,G,S3?,G5
Hymenoptera,Andrenidae,Andrena aliciae,Yellow-faced Miner Bee,A,A,U,S1,GNR
Hymenoptera,Andrenidae,Andrena alleghaniensis,Appalachian Miner Bee,F,E,G,S3,G5
Hymenoptera,Andrenidae,Andrena andrenoides,Colourful Willow Miner Bee,Z,Z,U,SH,GNR
Hymenoptera,Andrenidae,Andrena arabis,Mustard Miner Bee,DF,D,AF,S2S3,GNR
Hymenoptera,Andrenidae,Andrena asteris,Aster Miner Bee,F,D,G,S3?,GNR
Hymenoptera,Andrenidae,Andrena banksi,an andrenid bee,A,B,U,S1,GNR
Hymenoptera,Andrenidae,Andrena barbara,Barbara's Miner,F,D,HI,S3,GNR
Hymenoptera,Andrenidae,Andrena barbilabris,Bearded Miner Bee,EF,EI,AF,S2S4,G5
Hymenoptera,Andrenidae,Andrena bisalicis,Eastern Willow Miner Bee,F,D,G,S3?,GNR
Hymenoptera,Andrenidae,Andrena braccata,a mining bee,C,C,AF,S1S2,GNR
Hymenoptera,Andrenidae,Andrena bradleyi,Bradley's Miner Bee,F,D,G,S3?,GNR
Hymenoptera,Andrenidae,Andrena brevipalpis,Short-tongued Miner Bee,F,D,AF,S2S3,GNR
Hymenoptera,Andrenidae,Andrena canadensis,Canada Miner Bee,F,D,AF,S2S3,GNR
Hymenoptera,Andrenidae,Andrena carlini,Carlinville Miner Bee,F,FI,G,S3S5,G5
Hymenoptera,Andrenidae,Andrena carolina,Carolina Miner Bee,F,EI,G,S3S4,GNR
Hymenoptera,Andrenidae,Andrena ceanothi,Ceanothus Miner Bee,F,D,G,S3?,G5
Hymenoptera,Andrenidae,Andrena chromotricha,Pigmented Miner Bee,EF,D,U,S2S3,GNR
Hymenoptera,Andrenidae,Andrena clarkella,Clark's Miner Bee,EF,D,G,S2S3,GNR
Hymenoptera,Andrenidae,Andrena commoda,Advantaged Miner Bee,EF,EI,G,S3S4,GNR
Hymenoptera,Andrenidae,Andrena confederata,an andrenid bee,F,C,U,S2S3,GNR
Hymenoptera,Andrenidae,Andrena cornelli,a mining bee,A,B,AF,S1,GNR
Hymenoptera,Andrenidae,Andrena crataegi,Hawthorn Miner Bee,F,FI,G,S3S5,G5
Hymenoptera,Andrenidae,Andrena cressonii,Yellow-legged Miner Bee,F,EI,G,S3S4,G5
Hymenoptera,Andrenidae,Andrena distans,Distant Miner Bee,F,D,G,S3?,GNR
Hymenoptera,Andrenidae,Andrena dunningi,Dunning's Miner Bee,EF,EI,G,S3S4,G5
Hymenoptera,Andrenidae,Andrena duplicata,a mining bee,A,A,U,S1,GNR
Hymenoptera,Andrenidae,Andrena erigeniae,Spring Beauty Miner Bee,F,EI,G,S3S4,GNR
Hymenoptera,Andrenidae,Andrena erythrogaster,Red-bellied Miner Bee,EF,C,AF,S2?,GNR
Hymenoptera,Andrenidae,Andrena erythronii,Trout Lily Miner Bee,EF,D,G,S2S3,GNR
Hymenoptera,Andrenidae,Andrena forbesii,Forbes's Miner Bee,F,EI,G,S3S4,G5
Hymenoptera,Andrenidae,Andrena fragilis,Fragile Miner Bee,F,EI,AF,S2S4,GNR
Hymenoptera,Andrenidae,Andrena frigida,Cold Miner Bee,F,EI,G,S3S4,GNR
Hymenoptera,Andrenidae,Andrena fulvipennis,an andrenid bee,Z,Z,U,SH,GNR
Hymenoptera,Andrenidae,Andrena geranii,Geranium Miner Bee,F,D,HI,S3,GNR
Hymenoptera,Andrenidae,Andrena helianthi,Sunflower Miner Bee,BD,C,AF,S1S2,GNR
Hymenoptera,Andrenidae,Andrena heraclei,an andrenid bee,A,B,U,S1,GNR
Hymenoptera,Andrenidae,Andrena hilaris,an andrenid bee,A,B,U,S1,GNR
Hymenoptera,Andrenidae,Andrena hippotes,Hippotes's Miner Bee,F,E,G,S3,G5
Hymenoptera,Andrenidae,Andrena hirticincta,Hairy-belted Miner Bee,F,EI,G,S3S4,GNR
Hymenoptera,Andrenidae,Andrena ilicis,an andrenid bee,EF,C,U,S2S3,GNR
Hymenoptera,Andrenidae,Andrena illinoiensis,Tufted Miner Bee,Z,Z,U,SH,GNR
Hymenoptera,Andrenidae,Andrena imitatrix,Imitator Miner Bee,F,E,G,S3,G5
Hymenoptera,Andrenidae,Andrena integra,Intact Miner Bee,EF,DE,AF,S2S3,GNR
Hymenoptera,Andrenidae,Andrena krigiana,an andrenid bee,A,B,AF,S1,GNR
Hymenoptera,Andrenidae,Andrena mandibularis,Toothed Miner Bee,F,EI,G,S3S4,G5
Hymenoptera,Andrenidae,Andrena mariae,Maria Miner Bee,F,C,U,S2S3,GNR
Hymenoptera,Andrenidae,Andrena melanochroa,Rose Miner Bee,F,C,AF,S2,GNR
Hymenoptera,Andrenidae,Andrena milwaukeensis,Milwaukee Miner Bee,F,EI,G,S3S4,G5
Hymenoptera,Andrenidae,Andrena miranda,Singular Miner Bee,F,D,AD,S2S3,G5
Hymenoptera,Andrenidae,Andrena miserabilis,Smooth-faced Miner Bee,F,EI,G,S3S4,G5
Hymenoptera,Andrenidae,Andrena morrisonella,Morrison's Miner Bee,DF,D,U,S2S3,GNR
Hymenoptera,Andrenidae,Andrena nasonii,Bumped Miner Bee,F,F,G,S3S4,G5
Hymenoptera,Andrenidae,Andrena neonana,an andrenid bee,F,C,U,S2S3,GNR
Hymenoptera,Andrenidae,Andrena nida,a mining bee,A,A,U,S1,GNR
Hymenoptera,Andrenidae,Andrena nigrae,Black Miner Bee,E,C,G,S2,GNR
Hymenoptera,Andrenidae,Andrena nigrihirta,Black-haired Miner Bee,F,D,G,S3?,G5
Hymenoptera,Andrenidae,Andrena nivalis,Snow Miner Bee,F,EI,G,S3S4,G5
Hymenoptera,Andrenidae,Andrena nubecula,Cloudy-winged Miner Bee,F,EI,G,S3S4,GNR
Hymenoptera,Andrenidae,Andrena nuda,Naked Miner Bee,F,E,GI,S3,GNR
Hymenoptera,Andrenidae,Andrena parnassiae,an andrenid bee,A,A,U,S1,GNR
Hymenoptera,Andrenidae,Andrena peckhami,Peckham's Miner Bee,F,C,U,S2S3,GNR
Hymenoptera,Andrenidae,Andrena perplexa,Perplexed Miner Bee,F,EI,G,S3S4,GNR
Hymenoptera,Andrenidae,Andrena persimulata,Protuberance Miner Bee,D,D,AD,S2,GNR
Hymenoptera,Andrenidae,Andrena personata,an andrenid bee,A,A,U,S1,GNR
Hymenoptera,Andrenidae,Andrena placata,Peaceful Miner Bee,F,D,G,S3?,GNR
Hymenoptera,Andrenidae,Andrena platyparia,Plated Miner Bee,F,EI,G,S3S4,GNR
Hymenoptera,Andrenidae,Andrena pruni,an andrenid bee,EF,EI,G,S3S4,GNR
Hymenoptera,Andrenidae,Andrena regularis,Regular Miner Bee,EF,EI,G,S3S4,G5
Hymenoptera,Andrenidae,Andrena rehni,Rehn's Miner Bee,A,A,U,S1,GNR
Hymenoptera,Andrenidae,Andrena robertsonii,Robertson's Miner Bee,F,EI,G,S3S4,G5
Hymenoptera,Andrenidae,Andrena robervalensis,a miner bee,Z,Z,U,SH,GNR
Hymenoptera,Andrenidae,Andrena rufosignata,Red-faced Miner Bee,F,EI,G,S3S4,G5
Hymenoptera,Andrenidae,Andrena rugosa,Wrinkled Miner Bee,F,EI,G,S3S4,G5
Hymenoptera,Andrenidae,Andrena runcinatae,Planed Miner Bee,A,A,U,S1,G5
Hymenoptera,Andrenidae,Andrena salictaria,Small Willow Miner Bee,CD,C,AF,S1S2,GNR
Hymenoptera,Andrenidae,Andrena sigmundi,Sigmund's Miner Bee,EF,D,AF,S2S3,GNR
Hymenoptera,Andrenidae,Andrena simplex,Simple Miner Bee,F,D,G,S3?,GNR
Hymenoptera,Andrenidae,Andrena spiraeana,Goatsbeard Miner Bee,F,EI,G,S3S4,GNR
Hymenoptera,Andrenidae,Andrena thaspii,Parsnip Miner Bee,F,EI,G,S3S4,G5
Hymenoptera,Andrenidae,Andrena tridens,Trident Miner Bee,EF,DE,G,S2S3,G5
Hymenoptera,Andrenidae,Andrena uvulariae,a mining bee,A,A,U,S1,GNR
Hymenoptera,Andrenidae,Andrena vicina,Neighbouring Miner Bee,F,FI,G,S3S5,G5
Hymenoptera,Andrenidae,Andrena violae,an andrenid bee,F,D,HI,S3,GNR
Hymenoptera,Andrenidae,Andrena virginiana,Virginia Miner Bee,F,D,G,S3?,G5
Hymenoptera,Andrenidae,Andrena wheeleri,Wheeler's Miner Bee,F,D,G,S3?,G5
Hymenoptera,Andrenidae,Andrena wilkella,European Legume Miner Bee,F,FI,G,SNA,GNR
Hymenoptera,Andrenidae,Andrena w-scripta,W-marked Miner Bee,EF,D,AF,S2S3,G5
Hymenoptera,Andrenidae,Andrena ziziae,Golden Alexanders Miner Bee,E,D,G,S2S3,GNR
Hymenoptera,Andrenidae,Andrena ziziaeformis,an andrenid bee,Z,Z,U,SH,GNR
Hymenoptera,Andrenidae,Calliopsis andreniformis,Eastern Miner Bee,F,EI,G,S3S4,G5
Hymenoptera,Andrenidae,Panurginus potentillae,a miner bee,A,A,U,S1,GNR
Hymenoptera,Apidae,Bombus affinis,Rusty-patched Bumble Bee,Z,Z,AB,SH,G2
Hymenoptera,Apidae,Bombus ashtoni (= bohemicus),Ashton Cuckoo Bumble Bee,Z,Z,AB,SH,G3G5
Hymenoptera,Apidae,Bombus auricomus,Black-and-gold Bumble Bee,F,E,G,S2,G5
Hymenoptera,Apidae,Bombus bimaculatus,Two-spotted Bumble Bee,FG,G,HI,S4S5,G5
Hymenoptera,Apidae,Bombus borealis,Northern Amber Bumble Bee,F,F,G,S3,G4G5
Hymenoptera,Apidae,Bombus citrinus,Lemon Cuckoo Bumble Bee,F,E,AF,S2S3,G4
Hymenoptera,Apidae,Bombus fervidus,Yellow Bumble Bee,F,F,G,S3,G3G4
Hymenoptera,Apidae,Bombus flavidus,Fernald's Cuckoo Bumble Bee,F,D,G,S2,G5?
Hymenoptera,Apidae,Bombus griseocollis,Brown-belted Bumble Bee,FG,G,HI,S4S5,G5
Hymenoptera,Apidae,Bombus impatiens,Common Eastern Bumble Bee,FG,GH,HI,S5,G5
Hymenoptera,Apidae,Bombus insularis,Indiscriminate Cuckoo Bumble Bee,Z,Z,U,SH,G3
Hymenoptera,Apidae,Bombus pensylvanicus,American Bumble Bee,F,DE,AD,S2,G3G4
Hymenoptera,Apidae,Bombus perplexus,Confusing Bumble Bee,F,F,G,S3,G5
Hymenoptera,Apidae,Bombus rufocinctus,Red-belted Bumble Bee,F,E,G,S3,G5
Hymenoptera,Apidae,Bombus sandersoni,Sanderson's Bumble Bee,F,E,G,S3,G5
Hymenoptera,Apidae,Bombus ternarius,Tri-colored Bumble Bee,F,FI,G,S4S5,G5
Hymenoptera,Apidae,Bombus terricola,Yellow-banded Bumble Bee,F,F,G,S3,G3G4
Hymenoptera,Apidae,Bombus vagans,Half-black Bumble Bee,FG,FI,G,S5,G4
Hymenoptera,Apidae,Epeoloides pilosula,Macropis Cuckoo Bee,A,B,AD,S1,GU
Hymenoptera,Apidae,Melissodes agilis,Agile Long-horned Bee,EF,D,G,S2S3,GNR
Hymenoptera,Apidae,Melissodes apicatus,Pickerelweed Long-horned Bee,F,D,G,S3?,GNR
Hymenoptera,Apidae,Melissodes bidentis,Two-toothed Long-horned Bee,E,C,U,S2,GNR
Hymenoptera,Apidae,Melissodes bimaculatus,Two-spotted Long-horned Bee,F,FI,G,S3S5,GNR
Hymenoptera,Apidae,Melissodes boltoniae,a callirhoe bee,A,B,U,S1,GNR
Hymenoptera,Apidae,Melissodes denticulatus,Denticulate Long-horned Bee,E,E,G,S3,GNR
